438,497,502,506,548,245,31
438,497,501,506,548,245,31
438,498,501,506,548,245,31
438,498,502,505,547,245,31
439,496,501,505,547,244,31
438,499,501,505,546,244,31
438,499,502,505,545,244,31
438,498,500,504,545,244,31
438,498,502,504,543,245,31
438,499,500,504,543,245,31
438,500,500,503,541,245,31
438,498,502,503,539,245,31
438,498,500,503,538,245,31
438,499,501,503,536,245,31
437,498,501,503,535,246,31
437,497,501,503,532,246,31
437,497,500,503,531,246,31
437,498,501,503,528,246,31
438,497,500,503,527,246,31
438,498,500,502,524,246,31
438,499,501,502,522,246,34
438,498,501,502,520,246,34
438,498,501,502,518,246,37
438,498,500,502,515,246,37
437,498,499,502,513,247,40
438,499,500,502,511,247,42
438,497,499,501,509,247,42
437,498,498,502,506,248,48
438,499,500,501,504,248,48
438,498,499,501,502,248,51
438,496,500,501,499,248,51
438,500,503,501,497,248,56
437,498,497,501,495,248,56
436,500,500,501,493,248,59
437,498,499,501,491,248,62
437,497,499,501,489,248,62
438,498,501,501,487,248,65
438,498,500,501,486,248,68
438,499,500,501,483,248,68
438,499,501,501,482,247,70
438,501,500,500,480,247,73
438,500,500,499,478,247,76
438,499,500,499,475,247,76
438,499,498,499,474,247,79
437,501,502,499,471,247,79
438,499,499,498,469,247,81
438,499,500,499,466,247,84
438,500,501,499,465,247,84
438,498,499,499,462,247,87
438,499,501,499,461,247,87
437,501,501,499,458,248,93
437,499,498,499,456,248,95
437,499,501,499,454,248,95
437,501,501,499,451,248,98
438,498,500,499,449,248,101
438,499,501,499,447,248,104
437,499,497,499,446,248,104
438,499,501,499,443,248,107
438,501,502,499,442,248,109
439,499,500,499,440,248,112
438,500,499,499,438,248,112
438,503,502,498,435,248,115
438,502,499,498,433,248,118
438,501,500,498,431,248,118
437,502,500,498,429,249,120
438,501,498,498,425,249,123
437,502,499,498,423,249,123
437,499,499,497,420,249,126
437,499,499,498,418,250,129
438,499,499,498,414,250,132
437,499,500,498,411,250,134
437,499,497,498,408,250,137
438,497,499,498,406,250,140
438,497,501,499,402,250,140
